الرقم,اليوم,التاريخ,الوقت,نوع المنشور,الستايل,الهدف,العنوان,السكربت أو الكابشن
1,الجمعة,2026-05-01,14:00,post,Minimalist / Clean,تسويقي,إطلاق قناة واتساب المعهد,"🚀 معهد اليمان يطلق قناة واتساب رسمية!
.
وين كنت عنا كل هالوقت؟ 😅
.
من اليوم، رح توصلك التنبيهات، الحسومات، ومواعيد التسجيل قبل أي حدا.
.
📌 3 أسباب تشترك فيها:
✅ أولوية التسجيل بالدورات
✅ حسومات حصرية لأعضاء القناة
✅ تنويهات الامتحانات والجلسات
.
رابط القناة بالبايو 🔗
.
#معهد_اليمان #قناة_واتساب #بكالوريا2026"
2,السبت,2026-05-02,18:00,reel,Motion Graphics / Cinematic,تسويقي,بورتفوليو معهد اليمان,"🎬 سكربت الريل (موسيقى هادئة تصاعدية، أصوات أنيميشن، صوت narrator رجولي هادئ):
.
[0:00-0:03] لوقو المعهد يدور ببطء ثم يتوقف.
Narrator: ""معهد اليمان... مش مجرد معهد.""
.
[0:03-0:08] أرقام تظهر وتتحرك: 12,487 طالب | 43 أستاذ | 9 سنوات
Narrator: ""أكثر من 12 ألف طالب، 43 أستاذ خبير، 9 سنوات من التميز.""
.
[0:08-0:15] لقطات سريعة (وهمية) لقاعات وأساتذة وطلاب.
Narrator: ""هيدا مش حكي... هيدا إنجاز.""
.
[0:15-0:20] لوقو المعهد يظهر ثانية مع نص: ""مستعد تكون جزء من القصة؟""
Narrator: ""مستعد؟""
.
🎵 موسيقى تنتهي بنبضة قلب
.
الكابشن:
منيح إنك عم تشوف هالريل... معناتا انت جاهز تغير حياتك الأكاديمية 🔥
.
#بورتفوليو_اليمان #معهد_اليمان #بريفيه2026"
3,الأحد,2026-05-03,14:00,post,Bold / High Contrast,تسويقي,حسم شهر 5 على الدورة الصيفية,"🔥🔥🔥 حَسَم شَهْر 5 🔥🔥🔥
.
نعم. 25% حسم.
.
عالدورة الصيفية.
.
إلك لحد 15/5.
.
مشان الله، لا تنتظر... المقاعد مش عم تنطر حدا.
.
رابط التسجيل بالبايو 🤝
.
#حسم_شهر_5 #دورة_صيفية_اليمان #بريفيه2026 #تاسع2026"
4,الاثنين,2026-05-04,16:00,reel,Street Interview / Raw,تسويقي,آراء العملاء - جزء 1,"🎬 سكربت الريل (كاميرا محمولة، إضاءة طبيعية، أصوات شارع خفيفة):
.
[لقطة 1] طالب بلباس عادي، يمشي خارج المعهد.
الطالب (بضحكة خفيفة): ""صراحة؟ أول مرة جيت، قلت جرب وبس. بس والله... هالأستاذة سماح خلتني أحب الرياضيات. أنا كنت أكرهها.""
.
[لقطة 2] طالبة مع رفيقتها، توقفوهن بالشارع.
الطالبة: ""أهلي صاروا يستغربوا... عم أدرس بدون ما حدا يضربني ع راسي. مش طبيعي الفرق.""
.
[لقطة 3] شاب مع كاسة قهوة.
الشاب: ""أنا حولت من 12 بالفيزياء لـ 18. شو بدك أكتر من هيك؟""
.
[نهاية سريعة] لقطة جماعية طلاب يضحكوا.
نص على الشاشة: ""مو كلهم قنوعين؟ إحنا كمان""
.
الكابشن:
آراء حقيقية. مش ممثلين. مش مجبرين. والله لو بدي كذب... كان جبت سكريبت أحلى 😂💔
.
#آراء_العملاء #معهد_اليمان #صدق_أو_لا_تصدق"
5,الأربعاء,2026-05-06,14:00,post,Warm / Human,تسويقي,معايدة عيد العمال,"لكل إنسان بشتغل... سواء كنت أستاذ، موظف استقبال، عامل نظافة، أو مدير.
.
عيد عمال وانت مبسوط؟ ياريت. وانت متعب؟ برضه عيد مبارك.
.
إحنا بمعهد اليمان منحبش نضيع مناسبات. هيدا شكر صغير من القلب، قبل ما نرجع نضغط ع حالنا لآخر السنة.
.
كل عام وأنت قوة هالبلد الحقيقية 🇸🇾❤️
.
#عيد_العمال #معهد_اليمان #شكر_من_القلب"
6,الخميس,2026-05-07,18:00,reel,Talk Show / Sitting,توعوي,مشاكل مألوفة عند الطلاب,"🎬 سكربت الريل (كاميرا ثابتة، أستاذ جالس ع كرسي مريح، إضاءة دافئة):
.
الأستاذ (بهدوء): ""تعال... اجلس. بدي أحكيلك شي.""
.
[يغير وضعه، يتنهد]
الأستاذ: ""أكبر مشكلة بشوفها عند الطلاب... إنو يعرف شو بدو يدرس بس ما يعرف كيف. يضل يحفظ ويتعب والنتيجة... صفر.""
.
[يشير بإصبعو للكاميرا]
الأستاذ: ""المشكلة مش بذكائك. المشكلة إنو ما حدا علمك كيف تدرس. وإحنا هون بنعلمك كيف.""
.
[يبتسم]
الأستاذ: ""خلص. رجعت تحب المواد ولا لسا؟""
.
الكابشن:
لو كان عندك أستاذ متل هيك... كنت صرت دكتور ولا مهندس من زمان؟ 😂
.
#نصائح_اليمان #مشاكل_طلاب #استاذ_عمار"
7,الجمعة,2026-05-08,16:00,reel,Street Interview / Raw,تسويقي,آراء العملاء - جزء 2,"🎬 سكربت الريل (نفس الستايل الخام، ناس مختلفين):
.
[لقطة 1] أم وابنها خارج المعهد.
الأم: ""أنا أم... والله ما بضحك عليك. ابني كان نايم ع حالو. صار يجيب علامات ويحكي معي بالبيت. شو بدي أكتر؟""
.
[لقطة 2] طالب مع أستاذ يمر جنبه.
الطالب (بسرعة): ""الأستاذ عماد... لو بدي أحكي عنو ما بخلص. بس شو بدي قول؟ أنقذني بالكيمياء.""
.
[لقطة مفاجئة في النهاية - طالب يضحك بصوت عالي]
الطالب: ""والله المعهد كتير منيح... بس مشكلتو إنو كتير قريب ع بيتي، صرت أتأخر عمداً مشان أمشي زيادة 😂""
.
[نص ينزل: ""هيدا آخر واحد راح نعطيه مصاري ع هالحكي""]
.
الكابشن:
الجزء الثاني... وهيدا مش آخر شي. اللي بدو يحكي عن تجربتو... تعال خاص. نصورك ع السريع 🤍
.
#آراء_اليمان_2 #توصية_حقيقية"
8,السبت,2026-05-09,18:00,reel,Vlog / Dynamic POV,تفاعلي,يوم في حياة طالب اليمان,"🎬 سكربت الريل (كاميرا POV سريعة، موسيقى ترند حيوية، انتقالات سريعة):
.
[لقطة POV: اليد تطفى المنبه]
نص: ""6:30 الصبح... ليه؟ ليه؟؟""
.
[لقطة POV: الأكل بسرعة]
نص: ""الفطور الصح: رقاقة و 3 دقايق""
.
[لقطة POV: الدخول للمعهد]
نص: ""وصلنا... الله يستر""
.
[لقطة POV: أستاذ يشرح ع السبورة]
نص: ""محاضرة وحدة حلت 80% من مشاكلي""
.
[لقطة POV: استراحة مع الرفاق]
نص: ""أهم وقت باليوم... قهوة وضحكة""
.
[لقطة POV: الخروج والشمس]
نص: ""طلعنا... تعبان وراضي""
.
الكابشن:
هيدا يومي... أنا مو ممثل ولا مؤثر. أنا طالب زيك. الفرق إني لقيت المكان الصح.
شاركني بيومك أنت بتعليق 🤍
.
#يوم_في_حياة_طالب #POV_اليمان"
9,الأحد,2026-05-10,14:00,carousel,Infographic / Flat Design,تسويقي,خدمات الدورة الصيفية (نسخة محدثة),"
📌 سلايد 1: شو بتقدم الدورة الصيفية؟
.
📌 سلايد 2: ✏️ شرح مكثف لكل مواد البريفيه (رياضيات - فيزياء - علوم - عربي - إنجليزي - فرنسي)
.
📌 سلايد 3: 🧠 تقنيات دراسة حديثة (مش حفظ، فهم)
.
📌 سلايد 4: 📝 جلسات امتحانية أسبوعية تحاكي الامتحان الرسمي
.
📌 سلايد 5: 👥 مجموعات صغيرة (8-10 طلاب) مش زحمة
.
📌 سلايد 6: 🎁 هدية التسجيل المبكر: حسم 25% + ملفات مجانية
.
الكابشن:
بالعربي المبسط... الدورة الصيفية مش دورك تدرس إللي درستو. هي دورك تتفوق.
سجل هلق. قبل ما المقاعد تخلص.
.
#خدمات_الدورة_الصيفية #اليمان"
10,الثلاثاء,2026-05-12,18:00,reel,Talk Show / Sitting,توعوي,مشاكل مألوفة عند الطلاب (2),"🎬 سكربت الريل (نفس الجلسة، نفس الإضاءة، نفس الأستاذ):
.
الأستاذ (يحك راسه): ""أكثر شي يجرحني؟ طالب عم يدرس 8 ساعات باليوم... وعلامتو 11.""
.
[يسكت لثانية]
الأستاذ: ""لأنو 8 ساعات بدون طريقة... أكل بلا ملح. رح تشبع بس مش رح تستفيد.""
.
[يقرب من الكاميرا شوي]
الأستاذ: ""ساعة ونص بطريقة صح... بتجيب نتيجة 6 ساعات غلط. جرب... وما رح تندم.""
.
الكابشن:
ساعة ونص بس... أنا ما بحكي عن حالو. أنا جربت ع ناس قبلك 🤝
.
#طريقة_دراسة_صحيحة #توجيه_اليمان"
