الشريحة,العمر,النسبة التقريبية,السلوك الرقمي,الدافع الأساسي
طالبات التاسع,13–15,~19%,ريلز + ستوري + مشاركة مع صديقات,تخوف من الامتحان، رغبة بالتميز
طالبات البكالوريا,16–18,~35%,ريلز + حفظ + مشاركة في مجموعات,ضغط الامتحان، حاجة لتأمين المستقبل
طلاب الجامعة (ذكور),18–24,~12%,ريلز + متابعة سريعة,دورات مكثفة، تلحيق منهجي
الأمهات (صانعات القرار),30–45,متداخلة مع بيانات المتابعين عبر الأبناء,بوستات + كاروسيل + واتساب,البحث عن معهد موثوق، مقارنة الأسعار
الخريجون / الأصدقاء,18–25,~10%,مشاركة + ريبوست,التوصية، الحنين، حسومات الشلة
المناطق خارج دمشق,متنوع,~53% من غير المتابعين,ريلز فيكتور + مشاركة,البحث عن بديل محلي أو السفر لدمشق

المؤشر,الرقم,الملاحظة
إجمالي المشاهدات,"1,111,647",🔥 رقم قوي جداً
الحسابات التي تم الوصول إليها,"280,582",⚠️ تراجع 34.6% عن الفترة السابقة
إجمالي التفاعلات,"46,699",جيد لكن يمكن تحسينه
المشاركات,"11,631",🔥 نقطة قوة — المحتوى فيروسي
التعليقات,"1,319",متوسط — يحتاج محتوى يُعلّق عليه
الحفظات,"872",⚠️ ضعيف نسبياً — المحتوى ترفيهي أكثر من كونه مرجعي
الريبوستات,"576",مقبول
نسبة المتابعين→غير المتابعين بالتفاعل,"25.4% : 74.6%",✅ التوزيع المثالي للنمو

النوع,النسبة,الاستنتاج
Reels,83.3%,المحرك الأساسي — يجب الاستمرار والتحسين
Posts,9.6%,للإعلانات الرسمية والتوقيتات فقط
Stories,7.2%,مُهمل نسبياً — فرصة ضائعة

البيان,النتيجة,الدلالة التسويقية
النساء,74.6%,الاستهداف الطبيعي صحيح
دمشق,46.8%,القاعدة الصلبة — يجب الحفاظ عليها
العمر 18–24,46.5%,الشريحة الأكثر استجابة للريلز
العمر 13–17,19.4%,طلاب التاسع — شريحة واعدة

#,الهدف,المقياس (KPI),المستهدف
1,عكس تراجع الوصول,Accounts Reached,"≥ 300,000 (+7% على الأقل)"
2,رفع معدل الحفظ,Saves,"≥ 1,500 (+72%) عبر محتوى مرجعي"
3,إطلاق قناة الواتساب بنجاح,مشتركين القناة,"≥ 500 مشترك بنهاية الشهر"
4,بورتفوليو موشن,Views على الريلز,"≥ 50,000 مشاهدة"
5,ريل آراء العملاء,Shares + Saves,"≥ 3,000 مشاركة + ≥ 500 حفظ"
6,معدل المشاركات,Shares,"الحفاظ على ≥ 10,000"
7,نمو المتابعين,Net New Followers,"≥ 800 متابع جديد"

النمط,عدد المرات,النسبة,الغرض
تثقيفي/شرح,4,14%,رفع الحفظات — محتوى مرجعي
حماسي/تسويقي,3,11%,دفع التسجيل — CTA مباشر
عاطفي/إنساني,4,14%,بناء العلاقة العاطفية مع العلامة
سينمائي,2,7%,بورتفوليو + كبسولة النجاح — هوية بصرية عالية
وثائقي/واقعي,1,4%,آراء العملاء — مصداقية بلا تنميق
شفاف/مصداقي,1,4%,إدارة أزمة القرارات الحكومية
رسمي/هيئي,4,14%,معايدات + تنويهات رسمية
مباشر/عروض,4,14%,حسومات، خدمات، عروض
تفاعلي/مرح,2,7%,رفع التعليقات والمشاركات
تحفيزي/إلهامي,2,7%,دافعية الطلاب + محتوى قابل للحفظ
