ID | Name | Price | Type | Active | Enrollments (Active) | Receipts Paid Sum | Deferred Balance
====================================================================================================
4 | مكثفة الرياضيات (الأستاذ علاء رحال) | 800000.00 | INTENSIVE | True | 198 | 150875000 | 40682500
7 | مكثفة الرياضيات (الأستاذ خالد منير) | 800000.00 | INTENSIVE | True | 38 | 30200000 | 7550000
9 | مكثفة الفيزياء (الأستاذ قصي الجابي) | 700000.00 | INTENSIVE | True | 222 | 148440000 | 148440000
11 | مكثفة الفيزياء (الأستاذ عبدالرحمن داوود) | 700000.00 | INTENSIVE | True | 0 | 0 | 0
12 | مكثفة الكيمياء (الأستاذ مهند خياط) | 500000.00 | INTENSIVE | True | 169 | 81300000 | 20475000
15 | مكثفة العلوم (الأستاذ ملهم علي) | 500000.00 | INTENSIVE | True | 24 | 11250000 | 2813000
16 | مكثفة العلوم (الأستاذ خالد الميداني) | 500000.00 | INTENSIVE | True | 21 | 9000000 | 2775000
17 | مكثفة العلوم (الأستاذ نبيل القسطي) | 500000.00 | INTENSIVE | True | 28 | 12000000 | 3000000
18 | مكثفة اللغة العربية (الأستاذ عمار مرزوق) | 500000.00 | INTENSIVE | True | 71 | 33000000 | 13000000
19 | مكثفة اللغة العربية (الأستاذ طارق الصعيدي) | 500000.00 | INTENSIVE | True | 36 | 17500000 | -500000
20 | مكثفة اللغة الانكليزية (الأستاذ سامر محاحي) | 500000.00 | INTENSIVE | True | 52 | 23050000 | 5395000
21 | مكثفة اللغة الانكليزية (الأستاذ عبدالله سلطجي) | 500000.00 | INTENSIVE | True | 127 | 60510000 | 14842500
22 | مكثفة اللغة الانكليزية (الأستاذ رامي حلاق) | 500000.00 | INTENSIVE | True | 0 | 0 | 0.00
23 | مكثفة اللغة الفرنسية (الأستاذ عبدالوهاب كلاوي) | 500000.00 | INTENSIVE | True | 61 | 28500000 | 6000000
24 | مكثفة اللغة الفرنسية (الأستاذ عامر حداد) | 500000.00 | INTENSIVE | True | 86 | 42150000 | 12165000
25 | مكثفة الديانة (الأستاذ محمد خير السعدي) | 400000.00 | INTENSIVE | True | 15 | 5600000 | 1400000
26 | مكثفة الفلسفة (الأستاذ محمد السعدي) | 500000.00 | INTENSIVE | True | 37 | 18500000 | 4625000
27 | مكثفة التاريخ (الأستاذ ضياء الدين عريبي) | 400000.00 | INTENSIVE | True | 36 | 14000000 | 3800000
28 | مكثفة الجغرافيا (الأستاذ عمار سليمان) | 400000.00 | INTENSIVE | True | 7 | 2800000 | -400000
30 | مكثفة التاسع اللغة العربية (الأستاذ عمار مرزوق) | 450000.00 | INTENSIVE | True | 47 | 19250000 | 4812500
31 | مكثفة التاسع اللغة العربية (الأستاذة عهد عمر) | 350000.00 | INTENSIVE | True | 17 | 5250000 | 0
32 | مكثفة التاسع الرياضيات (الأستاذة هلا همج) | 400000.00 | INTENSIVE | True | 83 | 28620000 | 10968000
33 | مكثفة التاسع الفيزياء والكيمياء (الأستاذ علي بدوي) | 350000.00 | INTENSIVE | True | 34 | 10500000 | 0
34 | مكثفة التاسع الفيزياء والكيمياء (الأستاذة إسراء عودة) | 350000.00 | INTENSIVE | True | 46 | 13975000 | 5275000
35 | مكثفة التاسع العلوم (الأستاذ نبيل القسطي) | 350000.00 | INTENSIVE | True | 35 | 11200000 | 0
36 | مكثفة التاسع الاجتماعيات (الأستاذ عيسى دندن) | 350000.00 | INTENSIVE | True | 15 | 5250000 | 0
37 | مكثفة التاسع اللغة الانكليزية (الأستاذ رامي حلاق) | 450000.00 | INTENSIVE | True | 0 | 0 | 0
38 | مكثفة التاسع اللغة الانكليزية (الأستاذ رياض دالاتي) | 350000.00 | INTENSIVE | True | 73 | 22825000 | 9130000
39 | مكثفة التاسع اللغة الفرنسية (الأستاذة رامه مطر) | 350000.00 | INTENSIVE | True | 21 | 6300000 | 0
40 | مكثفة التاسع اللغة الفرنسية (الأستاذ عبدالوهاب كلاوي) | 450000.00 | INTENSIVE | True | 21 | 9000000 | 0
41 | مكثفة التاسع الديانة (الأستاذ محمد خير السعدي) | 300000.00 | INTENSIVE | True | 23 | 6050000 | 2118000
42 | مكثفة التاسع الاجتماعيات (الأستاذ ضياء عريبي) | 450000.00 | INTENSIVE | True | 58 | 25100000 | 6275000
43 | امتحانية التاسع فيزياء وكيمياء (إسراء عودة) | 100000.00 | EXAM | True | 35 | 3300000 | 1440000
44 | امتحانية التاسع فيزياء وكيمياء (علي بدوي) | 100000.00 | EXAM | True | 22 | 2200000 | 700000
45 | امتحانية التاسع العلوم (نبيل القسطي) | 100000.00 | EXAM | True | 36 | 3500000 | 1400000
46 | امتحانية البكالوريا الفيزياء (قصي الجابي) | 250000.00 | EXAM | True | 112 | 27250000 | 7187500
47 | امتحانية البكالوريا الفلسفة (محمد االسعدي) | 250000.00 | EXAM | True | 64 | 15100000 | 3212500
48 | امتحانية التاسع اللغة الإنكليزية (رياض دالاتي) | 100000.00 | EXAM | True | 65 | 6400000 | 2560000
49 | امتحانية البكالوريا اللغة الإنكليزية (رامي حلاق) | 150000.00 | EXAM | True | 1 | 0 | 0
50 | امتحانية البكالوريا اللغة الإنكليزية (سامر محاحي) | 150000.00 | EXAM | True | 79 | 11550000 | 2887500
51 | امتحانية البكالوريا اللغة الإنكليزية (عبدالله سلطجي) | 200000.00 | EXAM | True | 288 | 56800000 | 16100000
52 | امتحانية التاسع الإجتماعيات (ضياء الدين عريبي) | 150000.00 | EXAM | True | 25 | 3750000 | 4846500
53 | امتحانية التاسع الإجتماعيات (عيسى دندن) | 100000.00 | EXAM | True | 2 | 200000 | 200000.00
54 | امتحانية البكالوريا الرياضيات (علاء رحال) | 350000.00 | EXAM | True | 101 | 32800000 | 12800000
55 | امتحانية البكالوريا الرياضيات (ربيع نجار) | 350000.00 | EXAM | True | 0 | 0 | 0.00
56 | امتحانية البكالوريا الرياضيات (محمد نتوف) | 350000.00 | EXAM | True | 0 | 0 | 0.00
57 | امتحانية البكالوريا الرياضيات (آلاء الدمشقي) | 250000.00 | EXAM | True | 0 | 0 | 0.00
58 | امتحانية البكالوريا الرياضيات (خالد منير) | 300000.00 | EXAM | True | 30 | 9000000 | 5000000
59 | امتحانية البكالوريا الجغرافيا (ضياء الدين عريبي) | 150000.00 | EXAM | True | 43 | 6350000 | 6350000
60 | امتحانية البكالوريا الجغرافيا (عيسى دندن) | 125000.00 | EXAM | True | 1 | 125000 | 125000.00
61 | امتحانية البكالوريا الجغرافيا (عمار سليمان) | 125000.00 | EXAM | True | 0 | 0 | 0.00
62 | امتحانية التاسع الرياضيات (هلا همج) | 150000.00 | EXAM | True | 30 | 4350000 | 4350000
63 | امتحانية البكالوريا التاريخ (ضياء الدين عريبي) | 150000.00 | EXAM | True | 42 | 6150000 | 6150000
64 | امتحانية البكالوريا العلوم (نبيل القسطي) | 150000.00 | EXAM | True | 11 | 1650000 | 1650000.00
65 | امتحانية البكالوريا العلوم (ملهم علي) | 150000.00 | EXAM | True | 23 | 3450000 | 3450000.00
66 | معسكر البكالوريا العلوم (ملهم علي) | 300000.00 | EXAM | True | 42 | 12000000 | 12300000
67 | امتحانية البكالوريا العلوم (خالد ميداني) | 150000.00 | EXAM | True | 33 | 4800000 | 4800000
68 | امتحانية التاسع اللغة الفرنسية (عبد الوهاب كلاوي) | 125000.00 | EXAM | True | 19 | 2250000 | 2250000
69 | امتحانية التاسع اللغة الفرنسية (رامه مطر) | 100000.00 | EXAM | True | 13 | 1300000 | 1300000.00
70 | امتحانية البكالوريا اللغة الفرنسية (عبد الوهاب كلاوي) | 150000.00 | EXAM | True | 86 | 12600000 | 10225000
71 | امتحانية البكالوريا اللغة الفرنسية (عامر حداد) | 150000.00 | EXAM | True | 112 | 16350000 | 15350000
72 | امتحانية البكالوريا اللغة الفرنسية (رامه مطر) | 125000.00 | EXAM | True | 0 | 0 | 0.00
73 | امتحانية التاسع الديانه (محمد خير السعدي) | 100000.00 | EXAM | True | 14 | 1300000 | 1300000
74 | امتحانية البكالوريا الديانه (محمد خير السعدي) | 100000.00 | EXAM | True | 36 | 3500000 | 3500000
75 | امتحانية التاسع اللغة العربية (عمار مرزوق) | 125000.00 | EXAM | True | 34 | 3875000 | 1875000
76 | امتحانية التاسع اللغة العربية (عهد عمر) | 100000.00 | EXAM | True | 1 | 100000 | 100000.00
77 | امتحانية البكالوريا اللغة العربية (عمار مرزوق) | 150000.00 | EXAM | True | 62 | 8700000 | 4700000
78 | امتحانية البكالوريا اللغة العربية (طارق الصعيدي) | 150000.00 | EXAM | True | 69 | 9750000 | 9900000
79 | امتحانية البكالوريا الكيمياء (مهند خياط) | 175000.00 | EXAM | True | 103 | 17500000 | 16500000
80 | امتحانية البكالوريا الكيمياء (أسامة حيدر) | 150000.00 | EXAM | True | 0 | 0 | 0.00
81 | مكثفة الجغرافيا (الأستاذ ضياء الدين عريبي) | 400000.00 | INTENSIVE | True | 44 | 17200000 | 4000000
82 | اجتماعيات ضياء الدين عريبي | 200000.00 | EXAM | True | 71 | 13350000 | 350000
83 | جغرافيا  ضياء الدين عريبي | 200000.00 | EXAM | True | 54 | 10800000 | 9800000
84 | تاريخ ضياء الدين عريبي | 200000.00 | EXAM | True | 27 | 5400000 | 5400000.00
85 | امتحانية البكالوريا الكيمياء (معتز اللبابيدي) | 125000.00 | EXAM | True | 2 | 250000 | 250000.00
