الرقم,اليوم,التاريخ,الوقت,نوع المنشور,العنوان,الهدف,الستايل / النمط,الشرح
1,الجمعة,1/5/2026,14:00,post,إطلاق قناة واتساب المعهد,تسويقي,Minimalist / Clean,تصميم بسيط ونظيف بألوان المعهد + أيقونة واتساب كبيرة + رابط مباشر + 3 نقاط فقط: شو رح تستفيد (تنويهات - حسومات - أولوية بالتسجيل) بدون تعقيد
2,السبت,2/5/2026,18:00,reel,بورتفوليو معهد اليمان,تسويقي,Motion Graphics / Cinematic,ريل موشن كامل بالأنيميشن: أرقام المعهد تتحرك (عدد الطلاب - الأساتذة - سنوات الخبرة) + انتقالات سلسة بين أقسام المعهد + موسيقى إلهامية بطيئة + لوحة ألوان داكنة مع لمسات ذهبية
3,الأحد,3/5/2026,14:00,post,حسم شهر 5 على الدورة الصيفية,تسويقي,Bold / High Contrast,نص حسم كبير وواضح بألوان صارخة (أحمر + أبيض) + تصميم يلفت النظر بالسحب + بدون تفاصيل كثيرة - الهدف إيقاف السكرول فوراً
4,الاثنين,4/5/2026,16:00,reel,آراء العملاء بمعهد اليمان - جزء 1,تسويقي,Street Interview / Raw,كاميرا محمولة + إضاءة طبيعية + طلاب يتكلمون بعفوية بدون سكريبت + لقطات بين كل طالب وطالب (بسمة - مشي - دخول المعهد) شعور حقيقي 100% ما في تصنع
5,الأربعاء,6/5/2026,14:00,post,معاييدة عيد العمال,تسويقي,Warm / Human,ألوان دافئة (بيج - برتقالي ناعم) + صور مجموعة الموظفين + رسالة شكر قصيرة من الإدارة للفريق بعيداً عن الشكل الرسمي الجاف
6,الخميس,7/5/2026,18:00,reel,مشاكل مألوفة عند الطلاب,يقيوست,Talk Show / Sitting,كاميرا ثابتة + الأستاذ جالس بكرسي مريح + خلفية المعهد + إضاءة ناعمة من جانب + أسلوب حواري كأنك عم تحكي مع صديقك
7,الجمعة,8/5/2026,16:00,reel,آراء العملاء بمعهد اليمان - جزء 2,تسويقي,Street Interview / Raw,نفس ستايل الجزء 1 لكن طلاب مختلفين + لقطة مفاجئة في النهاية (طالب يقول شي فرفشي يضحك) عشان يتحول للشار وتنزل تعليقات
8,السبت,9/5/2026,18:00,reel,يوم في حياة طالب اليمان,تفاعلي,Vlog / Dynamic POV,كاميرا POV من عين الطالب (الصبح - استيقاظ - وصول المعهد - دخول القاعة - استراحة مع رفقات - شرح أستاذ - انصراف) انتقالات سريعة + موسيقى حيوية
9,الأحد,10/5/2026,14:00,carousel,خدمات الدورة الصيفية (نسخة محدثة),تسويقي,Infographic / Flat Design,كل سلايد فيها أيقونة + عنوان + شرح سطرين فقط + ألوان ثابتة ومتناسقة + تصميم مسطح بدون ظلال كثيرة
10,الثلاثاء,12/5/2026,18:00,reel,مشاكل مألوفة عند الطلاب,يقيوست,Talk Show / Sitting,نفس ستايل الحلقة الأولى (ثبات البصري يعمل هوية للـ series)
11,الخميس,14/5/2026,19:00,reel,تحدي مع الموظفين,تفاعلي,Behind the Scenes / Fun,كاميرا هاتف عفوية + أسئلة سريعة وسخيفة للموظفين (مثلاً: شو أكتر شي بيزعجك بالمعهد؟ مين الأستاذ اللي بتخاف منه؟) ضحك حقيقي بدون تنسيق
12,الجمعة,15/5/2026,14:00,post,متبقي 48 ساعة على انتهاء حسم شهر 5,تسويقي,Urgent / Dark Mode,خلفية سوداء + نص أحمر كبير + عد تنازلي + شعور بالاستعجال (FOMO) + أبسط تصميم ممكن لأن التركيز على الرسالة
